img_name,pointing_arm,VGI_x[px],VGI_y[px],VGI_z[m],t1_d_x[m],t1_d_y[m],t1_d_z[m],t1_d[m],t2_d_x[m],t2_d_y[m],t2_d_z[m],t2_d[m],t3_d_x[m],t3_d_y[m],t3_d_z[m],t3_d[m],t4_d_x[m],t4_d_y[m],t4_d_z[m],t4_d[m],target_guess,target_real,accuracy,guess_dist_x[m],guess_dist_y[m],guess_dist_z[m],min_dist[m]
AVERAGE,,,,,,,,,,,,,,,,,,,,,,,0.9315,-0.0756,-0.1911,0.2138,0.5141
,,,,,,,,,,,,,,,,,,,,,,,0.2543,0.2267,0.1840,0.1896,0.2802
1125_t10,left,408.190395,203.1847449,3.147285592,-0.126,-0.286,0.3353,0.4583,0.5353,-0.1687,0.1463,0.58,1.1433,-0.2007,0.1313,1.1682,1.7726,-0.3073,0.2743,1.8198,1,1,1,-0.1260,-0.2860,0.3353,0.4583
1125_t2,left,409.1709693,205.3938994,3.306385184,-0.1175,-0.2671,0.5004,0.5792,0.5554,-0.1477,0.2914,0.6443,1.174,-0.1802,0.3674,1.2433,1.8143,-0.2888,0.4294,1.8867,1,1,1,-0.1175,-0.2671,0.5004,0.5792
1125_t5,left,407.6503121,197.82342,3.233430455,-0.1436,-0.374,0.4234,0.5829,0.5772,-0.2462,0.2424,0.6727,1.2398,-0.281,0.2454,1.2947,1.9256,-0.3973,0.3534,1.9977,1,1,1,-0.1436,-0.3740,0.4234,0.5829
1203_t11,left,402.5971475,201.067103,3.227448679,-0.2571,-0.4274,0.4274,0.6569,0.6588,-0.2649,0.2514,0.7532,1.5008,-0.3092,0.2814,1.5579,2.3723,-0.4569,0.3864,2.4466,1,1,1,-0.2571,-0.4274,0.4274,0.6569
1203_t7,left,404.1997214,206.5621081,3.239424147,-0.2141,-0.3176,0.4384,0.5822,0.626,-0.1685,0.2464,0.6935,1.3983,-0.2092,0.3174,1.4491,2.1977,-0.3447,0.3984,2.26,1,1,1,-0.2141,-0.3176,0.4384,0.5822
1207_t10,left,410.8515879,218.9583786,3.027907996,-0.1097,-0.1325,0.2219,0.2808,0.634,-0.0005,-0.0101,0.6341,1.3177,-0.0365,0.0379,1.3188,2.0255,-0.1564,0.1519,2.0372,1,1,1,-0.1097,-0.1325,0.2219,0.2808
1207_t2,left,412.5125073,208.4546975,3.150363674,-0.0937,-0.2696,0.3354,0.4404,0.6821,-0.132,0.1284,0.7066,1.3954,-0.1695,0.1394,1.4126,2.1337,-0.2946,0.2584,2.1694,1,1,1,-0.0937,-0.2696,0.3354,0.4404
1207_t5,left,417.6079562,225.3365412,2.889389638,-0.0309,-0.0602,0.0514,0.0849,0.7689,0.0817,-0.1286,0.7838,1.5041,0.043,-0.1566,1.5128,2.2651,-0.086,0.0094,2.2668,1,1,1,-0.0309,-0.0602,0.0514,0.0849
1208_t12,left,405.1034233,219.7711054,2.986970336,-0.6076,-0.4172,0.145,0.7512,1.9213,0.0315,-0.048,1.9222,4.2463,-0.0909,-0.055,4.2477,6.6529,-0.4988,0.1,6.6723,1,1,1,-0.6076,-0.4172,0.1450,0.7512
1208_t2,left,415.7346776,225.674225,2.921579342,-0.174,-0.1764,0.0676,0.2568,2.355,0.2722,-0.1084,2.3731,4.68,0.1499,-0.0664,4.6828,7.0865,-0.258,0.0336,7.0913,1,1,1,-0.1740,-0.1764,0.0676,0.2568
1208_t4,left,410.4392597,213.4525649,3.032520825,-0.312,-0.54,0.2105,0.6582,1.7112,-0.181,0.0145,1.7208,3.5712,-0.2789,-0.0065,3.5821,5.4964,-0.6052,0.1465,5.5316,1,1,1,-0.3120,-0.5400,0.2105,0.6582
1212_t1,left,407.592603,216.8614718,3.128945135,-0.2236,-0.2367,0.2949,0.4393,0.8935,-0.0385,0.0399,0.8953,1.9206,-0.0926,0.0979,1.9253,2.9836,-0.2728,0.2309,3.0049,1,1,1,-0.2236,-0.2367,0.2949,0.4393
1212_t3,left,406.2946555,212.9507476,3.193673621,-0.2774,-0.345,0.3397,0.558,0.9774,-0.1224,0.1127,0.9914,2.1309,-0.1831,0.1637,2.145,3.3249,-0.3855,0.3077,3.3613,1,1,1,-0.2774,-0.3450,0.3397,0.558
1212_t9,left,412.0716232,221.9461349,3.016125488,-0.1074,-0.1091,0.1531,0.2166,0.7326,0.0399,-0.0629,0.7364,1.505,-0.0007,-0.0139,1.505,2.3044,-0.1362,0.1091,2.311,1,1,1,-0.1074,-0.1091,0.1531,0.2166
1207_t7,left,411.9581561,195.0623405,3.391614007,-0.0916,-0.3981,0.6046,0.7297,0.6149,-0.2728,0.3566,0.7614,1.2644,-0.307,0.3526,1.3481,1.9367,-0.4209,0.5116,2.0469,1,4,0,-0.0916,-0.3981,0.6046,0.7297
1203_t3,left,420.2937491,212.2452195,3.197854411,0.004,-0.2406,0.8899,0.9218,0.8441,-0.0915,0.2039,0.8731,1.6164,-0.1322,0.2309,1.6381,2.4158,-0.2677,0.3659,2.458,2,1,0,0.8441,-0.0915,0.2039,0.8731
1125_t12,left,363.9733025,210.2784925,3.226430003,-0.5669,-0.1996,0.4124,0.7289,0.0604,-0.0882,0.1914,0.2193,0.6372,-0.1186,0.2734,0.7035,1.2342,-0.2198,0.3544,1.3028,2,2,1,0.0604,-0.0882,0.1914,0.2193
1125_t3,left,363.7051293,204.1555976,3.182887533,-0.5729,-0.263,0.3849,0.7386,0.0581,-0.1511,0.2099,0.265,0.6382,-0.1816,0.2359,0.7042,1.2387,-0.2834,0.3049,1.3067,2,2,1,0.0581,-0.1511,0.2099,0.265
1125_t9,left,363.8313951,208.2063944,3.207851743,-0.6056,-0.235,0.4049,0.7654,0.0629,-0.1164,0.1929,0.2339,0.6774,-0.1487,0.2339,0.7319,1.3136,-0.2565,0.3289,1.3782,2,2,1,0.0629,-0.1164,0.1929,0.2339
