img_name,P(t1),P(t2),P(t3),P(t4),target_guess1,target_guess2,target_guess3,target_guess4,weighted_accuracy_score,H(t1),H(t2),H(t3),H(t4),PP
1125_t10,0.410791284,0.3245959405,0.1611587446,0.1034540309,1,0,0,0,1,0.5272598654,0.5269111168,0.4244027905,0.3385986535,3.523898636
1125_t2,0.3742783706,0.3364613258,0.1743601964,0.1149001072,1,0,0,0,1,0.5306580184,0.5287447373,0.4393628244,0.3586661942,3.623620258
1125_t5,0.3833600598,0.3321845977,0.1725964153,0.1118589272,1,0,0,0,1,0.5302743905,0.5281545469,0.437450032,0.3535019169,3.603455143
1203_t11,0.3902746788,0.3403763097,0.1645621904,0.1047868211,1,0,0,0,1,0.5297737699,0.5292162239,0.4284039592,0.3410256508,3.551478136
1203_t7,0.4001781647,0.3359534643,0.1607782261,0.1030901449,1,0,0,0,1,0.5287496643,0.5286787754,0.4239490393,0.3379317292,3.529121765
1207_t10,0.557541194,0.2468972832,0.1187121378,0.07684938507,1,0,0,0,1,0.4699234238,0.4982429477,0.3649757954,0.2844827808,3.068694331
1207_t2,0.4677186824,0.2915133141,0.145818567,0.09494943658,1,0,0,0,1,0.5127539292,0.5184174592,0.405048059,0.3225144427,3.384010137
1207_t5,0.8320206628,0.09012318739,0.04669391478,0.03116223499,1,0,0,0,1,0.2207423516,0.3129039081,0.2064161302,0.1559376151,1.860899322
1208_t12,0.5951545897,0.2325877265,0.1052522842,0.0670053996,1,0,0,0,1,0.4455706026,0.4894001918,0.3418674764,0.2612928378,2.904180473
1208_t2,0.8338438824,0.09023265306,0.04572715234,0.03019631224,1,0,0,0,1,0.218592838,0.3131259468,0.2035226434,0.1524757901,1.850246155
1208_t4,0.5933899123,0.2269695725,0.1090335949,0.07060692029,1,0,0,0,1,0.446791566,0.485585329,0.348597344,0.2700041534,2.930157863
1212_t1,0.5361814436,0.2630900348,0.1223417172,0.07838680428,1,0,0,0,1,0.4821380023,0.5068091426,0.3708191719,0.2879339667,3.133337737
1212_t3,0.5027683715,0.2829783652,0.1307900938,0.0834631694,1,0,0,0,1,0.4987634194,0.5153704814,0.3838263952,0.2990248728,3.242227149
1212_t9,0.6528354559,0.1920208579,0.09395625232,0.0611874339,1,0,0,0,1,0.4016300403,0.4571373482,0.3205662387,0.2466233434,2.686926711
1207_t7,0.3501232866,0.3355463123,0.1895148448,0.1248155563,1,2,3,4,0.1248155563,0.5301094408,0.5286250939,0.4547630878,0.3747125685,3.701756994
1203_t3,0.3340544777,0.3526874557,0.1879808422,0.1252772244,2,1,0,0,0.4864337846,0.5284223044,0.5302789324,0.4532861856,0.3754312798,3.699726699
1125_t12,0.1689374719,0.561507174,0.1750369911,0.09451836296,2,0,0,0,1,0.433398733,0.467524147,0.4400899496,0.3216707102,3.166048903
1125_t3,0.1851419767,0.5160221284,0.1941861176,0.1046497773,2,0,0,0,1,0.4505052433,0.4925406247,0.4591507505,0.3407772288,3.347244293
