epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95525,1.59623,4.37406,1.35828,0.59811,0.54545,0.63663,0.45016,1.19477,1.82491,1.22246,0,0,0
2,12.3038,2.44107,5.28204,1.33805,0.62832,0.54545,0.62425,0.43324,1.18901,1.84159,1.21623,1.9604e-05,1.9604e-05,1.9604e-05
3,18.165,1.91403,3.95219,1.39708,0.57579,0.61827,0.60531,0.42387,1.15572,1.93015,1.19776,3.8416e-05,3.8416e-05,3.8416e-05
4,24.3239,2.09846,3.05489,1.20926,0.73311,0.63636,0.71326,0.43518,1.14698,2.13085,1.21314,5.6436e-05,5.6436e-05,5.6436e-05
5,30.8731,2.10123,2.96108,1.24329,1,0.71912,0.87833,0.37718,1.25967,2.16513,1.32731,7.3664e-05,7.3664e-05,7.3664e-05
6,37.4822,1.53964,2.17216,1.11373,0.83601,0.90909,0.96479,0.3338,1.36821,2.14169,1.42447,9.01e-05,9.01e-05,9.01e-05
7,43.5234,1.53543,2.09597,1.14304,0.84105,0.9638,0.97297,0.37208,1.45715,2.19963,1.46755,0.000105744,0.000105744,0.000105744
8,49.4766,1.70723,2.21272,1.26241,0.92473,0.90909,0.9875,0.44836,1.44109,2.1053,1.41046,0.000120596,0.000120596,0.000120596
9,55.9159,1.51508,2.29511,1.11083,0.92244,1,0.995,0.54841,1.38232,2.01491,1.3249,0.000134656,0.000134656,0.000134656
10,62.0891,1.45611,1.94992,1.11321,0.99127,1,0.995,0.58154,1.33933,2.06592,1.27798,0.000147924,0.000147924,0.000147924
11,68.0085,1.75132,2.33483,1.16804,0.99082,1,0.995,0.59447,1.31677,2.32802,1.23315,0.0001604,0.0001604,0.0001604
12,73.8406,1.39762,1.59489,1.10596,0.96939,1,0.995,0.60305,1.26337,2.54926,1.16785,0.000172084,0.000172084,0.000172084
13,79.9757,1.29016,1.64539,1.07937,0.90642,1,0.9875,0.58468,1.21447,2.21597,1.13766,0.000182976,0.000182976,0.000182976
14,86.0036,1.67955,1.79449,1.10721,0.9628,0.90909,0.98115,0.58297,1.24594,1.84517,1.13908,0.000193076,0.000193076,0.000193076
15,92.1495,1.49082,1.56051,1.04413,0.833,1,0.95661,0.57294,1.24689,1.52286,1.12605,0.000202384,0.000202384,0.000202384
16,98.258,1.51515,1.33328,1.02166,0.90353,0.8535,0.96753,0.57749,1.23365,1.84163,1.11618,0.0002109,0.0002109,0.0002109
17,104.564,1.54921,1.70891,0.9893,0.94513,0.81818,0.945,0.57645,1.27258,1.8967,1.12215,0.000218624,0.000218624,0.000218624
18,112.344,1.41364,1.28943,1.13108,0.94513,0.81818,0.945,0.57645,1.27258,1.8967,1.12215,0.000225556,0.000225556,0.000225556
19,119.204,1.32254,1.42974,1.0106,0.90549,0.81818,0.94892,0.56864,1.23544,1.83577,1.10331,0.000231696,0.000231696,0.000231696
20,124.947,1.25371,1.15866,1.0144,0.90549,0.81818,0.94892,0.56864,1.23544,1.83577,1.10331,0.000237044,0.000237044,0.000237044
21,130.852,1.43951,1.20766,0.9927,0.98943,0.90909,0.95711,0.5943,1.17936,1.71914,1.08511,0.0002416,0.0002416,0.0002416
22,136.84,1.57995,1.28485,1.00768,0.98943,0.90909,0.95711,0.5943,1.17936,1.71914,1.08511,0.000245364,0.000245364,0.000245364
